HH_ID,CMA,MODE,PWDUR,WEIGHT
124981,462,9,9,100.111805957177
124982,999,9,9,100.481174883465
124983,462,2,1,100.111805957177
124984,999,9,9,100.964470533697
124985,999,2,2,100.111805957177
124986,999,2,2,100.417607740762
124987,462,2,1,100.111805957177
124988,999,9,9,100.481174883465
124989,999,2,2,100.111805957177
124990,999,2,3,100.111805957177
124991,999,9,9,100.179169992005
124992,999,2,3,100.111805957177
124993,462,2,1,100.111805957177
124994,825,2,8,100.595160125175
124995,999,9,9,100.417607740762
124996,999,9,9,100.481174883465
124997,999,7,2,99.9745842484901
124998,999,9,9,100.417607740762
124999,535,6,2,100.417607740762
125000,825,9,9,100.595160125175
125001,999,9,9,99.9745842484901
125002,999,2,2,100.42794720071
125003,999,2,2,100.417607740762
125004,999,2,1,100.481174883465
125005,462,9,9,100.111805957177
125006,999,6,8,100.417607740762
125007,999,9,9,100.417607740762
125008,535,9,9,100.417607740762
125009,835,9,9,100.595160125175
125010,999,9,9,100.481174883465
125011,462,9,9,100.111805957177
125012,999,2,2,100.15765171502
125013,825,2,3,100.595160125175
125014,535,9,9,100.417607740762
125015,835,9,9,100.595160125175
125016,999,9,9,99.9745842484901
125017,835,2,1,100.595160125175
125018,999,9,9,100.417607740762
125019,535,2,2,100.417607740762
125020,535,2,2,100.417607740762
125021,835,2,8,100.595160125175
125022,999,9,9,100.111805957177
125023,535,2,3,100.417607740762
125024,933,9,9,100.481174883465
125025,999,9,9,100.111805957177
125026,535,9,9,100.417607740762
125027,999,9,8,100.595160125175
125028,933,6,4,100.481174883465
125029,462,2,3,100.111805957177
125030,999,9,9,100.417607740762
125031,999,9,9,100.417607740762
125032,462,9,9,100.111805957177
125033,825,6,3,100.595160125175
125034,933,9,9,100.481174883465
125035,999,9,9,100.481174883465
125036,535,2,2,100.417607740762
125037,999,9,9,100.417607740762
125038,933,2,3,100.481174883465
125039,825,2,1,100.595160125175
125040,462,9,9,100.111805957177
125041,933,2,2,100.481174883465
125042,999,2,2,100.481174883465
125043,835,2,4,100.595160125175
125044,933,1,2,100.481174883465
125045,835,2,8,100.595160125175
125046,999,9,9,100.179169992005
125047,999,9,9,100.42794720071
125048,535,7,1,100.417607740762
125049,999,2,1,100.111805957177
125050,999,9,9,100.42794720071
125051,462,2,3,100.111805957177
125052,999,9,9,100.15765171502
125053,999,9,9,100.481174883465
125054,999,2,4,100.417607740762
125055,999,2,4,100.595160125175
125056,999,5,2,100.417607740762
125057,999,9,9,100.417607740762
125058,999,9,9,100.481174883465
125059,535,2,3,100.417607740762
125060,999,9,9,100.417607740762
125061,999,9,9,100.417607740762
125062,933,6,5,100.481174883465
125063,999,2,1,99.9745842484901
125064,999,9,9,100.481174883465
125065,999,9,9,100.964470533697
125066,999,2,1,100.417607740762
125067,999,9,9,100.111805957177
125068,535,9,9,100.417607740762
125069,999,1,5,100.481174883465
125070,535,9,9,100.417607740762
125071,535,9,9,100.417607740762
125072,999,9,9,100.417607740762
125073,999,9,9,100.417607740762
125074,999,2,8,100.417607740762
125075,535,9,9,100.417607740762
125076,999,2,2,100.15765171502
125077,999,9,9,100.15765171502
125078,835,2,1,100.595160125175
125079,999,9,9,100.417607740762
125080,462,9,9,100.111805957177
125081,999,9,9,100.417607740762
125082,999,2,2,100.111805957177
125083,535,6,8,100.417607740762
125084,535,9,9,100.417607740762
125085,462,2,3,100.111805957177
125086,999,5,3,99.9745842484901
125087,462,9,9,100.111805957177
125088,999,7,8,101.098005203819
125089,999,2,2,100.417607740762
125090,462,2,2,100.111805957177
125091,999,2,1,99.9745842484901
125092,999,9,9,99.9745842484901
125093,999,9,9,100.42794720071
125094,535,2,8,100.417607740762
125095,999,2,1,100.111805957177
125096,999,2,1,100.111805957177
125097,535,9,9,100.417607740762
125098,535,2,1,100.417607740762
125099,835,9,9,100.595160125175
125100,999,9,8,100.481174883465
125101,999,9,9,100.417607740762
125102,835,9,9,100.595160125175
125103,535,9,9,100.417607740762
125104,535,9,9,100.417607740762
125105,999,9,9,100.111805957177
125106,999,2,2,100.15765171502
125107,999,9,9,100.417607740762
125108,462,9,9,100.111805957177
125109,999,9,9,100.417607740762
125110,999,2,1,100.964470533697
125111,999,2,5,100.111805957177
125112,535,2,2,100.417607740762
125113,835,9,9,100.595160125175
125114,999,2,2,100.417607740762
125115,999,2,1,100.481174883465
125116,999,9,9,100.417607740762
125117,999,9,9,100.417607740762
125118,462,9,9,100.111805957177
125119,999,2,1,100.111805957177
125120,999,7,2,100.964470533697
125121,535,9,9,100.417607740762
125122,999,2,3,100.111805957177
125123,999,2,8,100.417607740762
125124,535,9,9,100.417607740762
